City,2005,2010,2015,2018
Algiers,"2,282",Algiers,"2,432",Algiers,"2,592",Algiers,"2,694"
Luanda,"3,872",Luanda,"5,300",Luanda,"7,023",Luanda,"7,774"
Ouagadougou,"1,328",Ouagadougou,"1,742",Ouagadougou,"2,200",Porto-Novo,285
Bujumbura,412,Bujumbura,556,Bujumbura,751,Gaborone,269
Yaound�,"1,781",Yaound�,"2,349",Yaound�,"3,097",Ouagadougou,"2,531"
Bangui,644,Bangui,717,Bangui,798,Bujumbura,899
N'Djamena,827,N'Djamena,991,N'Djamena,"1,187",Praia,168
Brazzaville,"1,269",Brazzaville,"1,576",Brazzaville,"1,958",Yaound�,"3,656"
Kinshasa,"7,589",Kinshasa,"9,382",Kinshasa,"11,598",Bangui,851
Djibouti,442,Djibouti,485,Djibouti,531,N'Djamena,"1,323"
Cairo,"15,174",Cairo,"16,899",Cairo,"18,820",Moroni,62
Asmara,558,Asmara,670,Asmara,803,Brazzaville,"2,230"
Addis Ababa,"2,634",Addis Ababa,"3,126",Addis Ababa,"3,871",Yamoussoukro,231
Libreville,563,Libreville,649,Libreville,747,Kinshasa,"13,171"
Banjul,368,Banjul,393,Banjul,420,Djibouti,562
Accra,"1,854",Accra,"2,060",Accra,"2,290",Cairo,"20,076"
Conakry,"1,345",Conakry,"1,518",Conakry,"1,714",Malabo,297
Bissau,336,Bissau,409,Bissau,497,Asmara,896
Nairobi,"2,677",Nairobi,"3,237",Nairobi,"3,914",Mbabane,68
Monrovia,"1,202",Monrovia,"1,056",Monrovia,"1,270",Addis Ababa,"4,400"
Tripoli,"1,058",Tripoli,"1,095",Tripoli,"1,134",Libreville,813
Antananarivo,"1,561",Antananarivo,"2,021",Antananarivo,"2,618",Banjul,437
Lilongwe,590,Lilongwe,731,Lilongwe,905,Accra,"2,439"
Bamako,"1,486",Bamako,"1,886",Bamako,"2,219",Conakry,"1,843"
Nouakchott,684,Nouakchott,851,Nouakchott,"1,058",Bissau,558
Rabat,"1,635",Rabat,"1,714",Rabat,"1,796",Nairobi,"4,386"
Maputo,"1,072",Maputo,"1,097",Maputo,"1,100",Maseru,202
Windhoek,268,Windhoek,314,Windhoek,368,Monrovia,"1,418"
Niamey,821,Niamey,954,Niamey,"1,109",Tripoli,"1,158"
Abuja,"1,316",Abuja,"1,814",Abuja,"2,442",Antananarivo,"3,058"
Kigali,668,Kigali,797,Kigali,951,Lilongwe,"1,030"
Dakar,"2,135",Dakar,"2,427",Dakar,"2,758",Bamako,"2,447"
Freetown,786,Freetown,905,Freetown,"1,043",Nouakchott,"1,205"
Mogadishu,"1,415",Mogadishu,"1,353",Mogadishu,"1,783",Port Louis,149
Pretoria,"1,334",Pretoria,"1,666",Pretoria,"2,081",Rabat,"1,847"
Juba,202,Juba,255,Juba,321,Maputo,"1,102"
Khartoum,"3,979",Khartoum,"4,517",Khartoum,"5,128",Windhoek,404
Lom�,"1,315",Lom�,"1,466",Lom�,"1,635",Niamey,"1,214"
Tunis,"1,859",Tunis,"2,014",Tunis,"2,183",Abuja,"2,919"
Kampala,"1,576",Kampala,"2,016",Kampala,"2,577",Kigali,"1,058"
Lusaka,"1,357",Lusaka,"1,723",Lusaka,"2,187",Sao Tome,80
Harare,"1,450",Harare,"1,475",Harare,"1,500",Dakar,"2,978"
