capital,2005,2010,2015,2018
Algiers,2282,2432,2592,2694
Luanda,3872,5300,7023,7774
Porto-Novo,0,0,0,285
Gaborone,0,0,0,269
Ouagadougou,1328,1742,2200,2531
Bujumbura,412,556,751,899
Praia,0,0,0,168
Yaound�,1781,2349,3097,3656
Bangui,644,717,798,851
N'Djamena,827,991,1187,1323
Moroni,0,0,0,62
Brazzaville,1269,1576,1958,2230
Yamoussoukro,0,0,0,231
Kinshasa,7589,9382,11598,13171
Djibouti,442,485,531,562
Cairo,15174,16899,18820,20076
Malabo,0,0,0,297
Asmara,558,670,803,896
Mbabane,0,0,0,68
Addis Ababa,2634,3126,3871,4400
Libreville,563,649,747,813
Banjul,368,393,420,437
Accra,1854,2060,2290,2439
Conakry,1345,1518,1714,1843
Bissau,336,409,497,558
Nairobi,2677,3237,3914,4386
Maseru,0,0,0,202
Monrovia,1202,1056,1270,1418
Tripoli,1058,1095,1134,1158
Antananarivo,1561,2021,2618,3058
Lilongwe,590,731,905,1030
Bamako,1486,1886,2219,2447
Nouakchott,684,851,1058,1205
Port Louis,0,0,0,149
Rabat,1635,1714,1796,1847
Maputo,1072,1097,1100,1102
Windhoek,268,314,368,404
Niamey,821,954,1109,1214
Abuja,1316,1814,2442,2919
Kigali,668,797,951,1058
Sao Tome,0,0,0,80
Dakar,2135,2427,2758,2978
Victoria,0,0,0,28
Freetown,786,905,1043,1136
Mogadishu,1415,1353,1783,2082
Pretoria,1334,1666,2081,2378
Juba,202,255,321,369
Khartoum,3979,4517,5128,5534
Lom�,1315,1466,1635,1746
Tunis,1859,2014,2183,2291
Kampala,1576,2016,2577,2986
Dodoma,0,0,0,262
Lusaka,1357,1723,2187,2524
Harare,1450,1475,1500,1515
