capital,2005,2010,2015,2018
Kabul,2905,3289,3724,4012
Tirana,372,409,449,476
Algiers,2282,2432,2592,2694
Pago Pago,0,0,0,49
Andorra la Vella,0,0,0,23
Luanda,3872,5300,7023,7774
The Valley,0,0,0,1
Saint John's,0,0,0,21
Buenos Aires,13330,14246,14706,14967
Yerevan,1087,1066,1071,1080
Oranjestad,0,0,0,30
Canberra,366,398,429,448
Vienna,1641,1731,1835,1901
Baku,1867,2062,2206,2286
Nassau,0,0,0,280
Manama,198,292,441,565
Dhaka,12331,14731,17597,19578
Bridgetown,0,0,0,89
Minsk,1775,1850,1945,2005
Brussels,1853,1926,2002,2050
Belmopan,0,0,0,23
Porto-Novo,0,0,0,285
Hamilton,0,0,0,10
Thimphu,0,0,0,203
Sucre,0,0,0,278
Kralendijk,0,0,0,11
Sarajevo,342,342,342,343
Gaborone,0,0,0,269
Brasilia,3301,3710,4168,4470
Road Town,0,0,0,15
Bandar Seri Begawan,0,0,0,41
Sofia,1169,1216,1256,1272
Ouagadougou,1328,1742,2200,2531
Bujumbura,412,556,751,899
Praia,0,0,0,168
Phnom Penh,1317,1523,1779,1952
Yaound�,1781,2349,3097,3656
Ottawa,1122,1218,1308,1363
George Town,0,0,0,35
Bangui,644,717,798,851
N'Djamena,827,991,1187,1323
Saint Helier,0,0,0,34
Santiago,6025,6269,6523,6680
Beijing,12991,16441,18421,19618
Hong Kong,6828,7025,7246,7429
Macao,483,537,601,632
Bogota,7299,8418,9708,10574
Moroni,0,0,0,62
Brazzaville,1269,1576,1958,2230
Avarua,0,0,0,13
San Jos�,1114,1202,1297,1358
Yamoussoukro,0,0,0,231
Zagreb,690,688,687,686
Havana,2180,2143,2124,2136
Willemstad,0,0,0,144
Nicosia,0,0,0,269
Prague,1199,1234,1269,1292
Pyongyang,2805,2861,2970,3038
Kinshasa,7589,9382,11598,13171
Copenhagen,1127,1192,1271,1321
Djibouti,442,485,531,562
Roseau,0,0,0,15
Santo Domingo,2297,2601,2945,3172
Quito,1479,1598,1734,1822
Cairo,15174,16899,18820,20076
San Salvador,1074,1086,1099,1107
Malabo,0,0,0,297
Asmara,558,670,803,896
Tallinn,397,394,416,437
Mbabane,0,0,0,68
Addis Ababa,2634,3126,3871,4400
Stanley,0,0,0,2
T�rshavn,0,0,0,21
Suva,0,0,0,178
Helsinki,1067,1126,1222,1279
Paris,10092,10460,10734,10901
Cayenne,0,0,0,58
Papeete,0,0,0,136
Libreville,563,649,747,813
Banjul,368,393,420,437
Tbilisi,1081,1079,1078,1077
Berlin,3391,3450,3514,3552
Accra,1854,2060,2290,2439
Gibraltar,0,0,0,35
Athens,3180,3170,3161,3156
Nuuk,0,0,0,18
Saint George's,0,0,0,39
Basse-Terre,0,0,0,58
Hag�t�a,0,0,0,147
Guatemala City,2302,2560,2738,2851
Conakry,1345,1518,1714,1843
